基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
009752,DMLDYXZQ,债券型,大摩灵动优选债券,1.0182,1.0182,1.0173,1.0173,0.0009,0.09,开放申购,开放赎回,0.08%,1.9,0.8,0.2,0.0,0.08
009757,HBZZ13NGKHZQZS,债券指数,华宝中债1-3年国开行债券指数,1.0109,1.0109,1.0105,1.0105,0.0004,0.04,开放申购,开放赎回,0.50%,7.06,0.15,0.05,0.0,0.50
009758,FGKZZC,债券型,富国可转债C,2.0140,2.0140,2.0350,2.0350,-0.0210,-1.03,开放申购,开放赎回,0.00%,1.29,0.7,0.2,0.2,0.00
009763,HSHYZQA,债券型,惠升和悦债券A,1.1667,1.6559,1.1648,1.6540,0.0019,0.16,开放申购,开放赎回,0.08%,35.9,0.3,0.1,0.0,0.08
009764,HSHYZQC,债券型,惠升和悦债券C,1.0857,1.5415,1.0841,1.5399,0.0016,0.15,开放申购,开放赎回,0.00%,0.01,0.3,0.1,0.4,0.00
009771,HAJHCZZQC,债券型,汇安嘉汇纯债债券C,1.0176,1.0489,1.0174,1.0487,0.0002,0.02,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.2,0.00
009784,AXZXTLLLZA,债券型,安信尊享添利利率债A,1.0189,1.0189,1.0178,1.0178,0.0011,0.11,开放申购,开放赎回,0.04%,2.03,0.3,0.1,0.0,0.04
009785,AXZXTLLLZC,债券型,安信尊享添利利率债C,1.0179,1.0179,1.0168,1.0168,0.0011,0.11,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.2,0.00
009792,GYRYZQA,债券型,工银瑞益债券A,1.0008,1.0008,1.0007,1.0007,0.0001,0.01,开放申购,开放赎回,0.40%,1.05,0.3,0.1,0.0,0.40
009793,GYRYZQC,债券型,工银瑞益债券C,0.9961,0.9961,0.9960,0.9960,0.0001,0.01,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.4,0.00
009803,YFDZZ710NGKZC,债券指数,易方达中债7-10年国开债C,1.1176,1.1176,1.1166,1.1166,0.0010,0.09,开放申购,开放赎回,0.00%,3.31,0.15,0.05,0.1,0.00
009826,MSJYJY6GYCYQZQA,债券型,民生加银家盈6个月持有期债券A,1.0268,1.0268,1.0280,1.0280,-0.0012,-0.12,开放申购,封闭期,0.80%,12.99,0.7,0.2,0.0,0.80
009827,MSJYJY6GYCYQZQC,债券型,民生加银家盈6个月持有期债券C,1.0252,1.0252,1.0264,1.0264,-0.0012,-0.12,开放申购,暂停赎回,0.00%,1.58,0.7,0.2,0.35,0.00
009871,JSCCJRSYZQC,债券型,景顺长城景瑞收益债券C,1.0733,1.0833,1.0730,1.0830,0.0003,0.03,开放申购,开放赎回,0.00%,0.45,0.3,0.1,0.1,0.00
009916,GLHLZQZQA,债券型,格林泓利增强债券A,1.0273,1.0273,1.0264,1.0264,0.0009,0.09,开放申购,开放赎回,0.08%,3.05,0.3,0.1,0.0,0.08
009917,GLHLZQZQC,债券型,格林泓利增强债券C,1.0255,1.0255,1.0246,1.0246,0.0009,0.09,开放申购,开放赎回,0.00%,3.04,0.3,0.1,0.4,0.00
009925,BSHL6GYCYQZQA,债券型,博时恒利6个月持有期债券A,1.0460,1.0460,1.0478,1.0478,-0.0018,-0.17,开放申购,暂停赎回,0.06%,2.87,0.6,0.15,0.0,0.06
009926,BSHL6GYCYQZQC,债券型,博时恒利6个月持有期债券C,1.0449,1.0449,1.0467,1.0467,-0.0018,-0.17,开放申购,暂停赎回,0.00%,0.41,0.6,0.15,0.35,0.00
009953,HTBRJQZQ,债券型,华泰柏瑞锦乾债券,1.0071,1.0071,1.0067,1.0067,0.0004,0.04,开放申购,开放赎回,0.08%,20.11,0.3,0.05,0.0,0.08
009985,YYXLZGDJDZE,债券型,永赢迅利中高等级短债E,1.0168,1.0268,1.0166,1.0266,0.0002,0.02,开放申购,开放赎回,0.00%,0.67,0.3,0.1,0.3,0.00
010011,JSJYZL6GYCYQZQA,债券型,景顺景颐招利6个月持有期债券A,1.0324,1.0324,1.0348,1.0348,-0.0024,-0.23,开放申购,暂停赎回,0.08%,8.32,0.7,0.2,0.0,0.08
010012,JSJYZL6GYCYQZQC,债券型,景顺景颐招利6个月持有期债券C,1.0312,1.0312,1.0336,1.0336,-0.0024,-0.23,开放申购,暂停赎回,0.00%,1.25,0.7,0.2,0.4,0.00
010035,PAGDJZE,债券型,平安高等级债E,1.0443,1.0443,1.0441,1.0441,0.0002,0.02,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.2,0.00
010053,AXJLZQZQB,债券型,安信聚利增强债券B,1.0951,1.0951,1.0972,1.0972,-0.0021,-0.19,开放申购,开放赎回,,0.0,0.7,0.2,0.0,0.0
010068,GYSYZQA,债券型,工银双盈债券A,1.0143,1.0143,1.0146,1.0146,-0.0003,-0.03,开放申购,开放赎回,0.08%,22.4,0.6,0.15,0.0,0.08
010069,GYSYZQC,债券型,工银双盈债券C,1.0139,1.0139,1.0142,1.0142,-0.0003,-0.03,开放申购,开放赎回,0.00%,2.11,0.6,0.15,0.4,0.00
010083,ZYXXLLZ,债券型,中银欣享利率债,1.0110,1.0110,1.0102,1.0102,0.0008,0.08,开放申购,开放赎回,0.08%,67.78,0.3,0.1,0.0,0.08
010086,ZYCZFLZQA,债券型,中邮纯债丰利债券A,1.0034,1.0034,1.0031,1.0031,0.0003,0.03,开放申购,开放赎回,0.80%,10.0,0.3,0.1,0.0,0.80
010087,ZYCZFLZQC,债券型,中邮纯债丰利债券C,1.0034,1.0034,1.0031,1.0031,0.0003,0.03,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.25,0.00
010096,BYXXSGYZQA,债券型,博远鑫享三个月债券A,1.0348,1.0348,1.0386,1.0386,-0.0038,-0.37,开放申购,开放赎回,0.80%,1.06,0.4,0.1,0.0,0.80
010097,BYXXSGYZQC,债券型,博远鑫享三个月债券C,1.0335,1.0335,1.0374,1.0374,-0.0039,-0.38,开放申购,开放赎回,0.00%,0.19,0.4,0.1,0.4,0.00
010098,BYXXSGYZQE,债券型,博远鑫享三个月债券E,1.0347,1.0347,1.0385,1.0385,-0.0038,-0.37,开放申购,开放赎回,0.00%,0.95,0.4,0.1,0.01,0.00
010102,XBLDXHZQZQA,债券型,西部利得鑫泓增强债券A,1.0113,1.0113,1.0123,1.0123,-0.0010,-0.10,开放申购,开放赎回,0.08%,1.0,0.6,0.15,0.0,0.08
010103,XBLDXHZQZQC,债券型,西部利得鑫泓增强债券C,1.0199,1.0199,1.0209,1.0209,-0.0010,-0.10,开放申购,开放赎回,0.00%,1.8,0.6,0.15,0.4,0.00
010145,GLZDZZQA,债券型,格林中短债债券A,1.0115,1.0115,1.0105,1.0105,0.0010,0.10,开放申购,开放赎回,0.04%,17.19,0.3,0.05,0.0,0.04
010146,GLZDZZQC,债券型,格林中短债债券C,1.0156,1.0156,1.0146,1.0146,0.0010,0.10,开放申购,开放赎回,0.00%,0.5,0.3,0.05,0.4,0.00
010168,THALDZA,债券型,天弘安利短债A,1.0053,1.0053,1.0052,1.0052,0.0001,0.01,开放申购,开放赎回,0.035%,0.18,0.3,0.1,0.0,0.035
010169,THALDZC,债券型,天弘安利短债C,1.0052,1.0052,1.0051,1.0051,0.0001,0.01,开放申购,开放赎回,0.00%,3.7,0.3,0.1,0.1,0.00
010223,BSSJXCYQZQA,债券型,博时双季享持有期债券A,1.0053,1.0053,1.0049,1.0049,0.0004,0.04,开放申购,暂停赎回,0.03%,0.95,0.3,0.05,0.0,0.03
