基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
009609,GFZZ500ZSZQC,股票指数,广发中证500指数增强C,1.0210,1.0210,1.0292,1.0292,-0.0082,-0.80,开放申购,开放赎回,0.00%,0.74,1.0,0.25,0.4,0.00
009613,SYZZ500ZSZQXA,股票指数,上银中证500指数增强型A,0.9489,0.9489,0.9569,0.9569,-0.0080,-0.84,开放申购,开放赎回,0.12%,2.32,1.0,0.1,0.0,0.12
009614,SYZZ500ZSZQXC,股票指数,上银中证500指数增强型C,0.9474,0.9474,0.9554,0.9554,-0.0080,-0.84,开放申购,开放赎回,0.00%,0.9,1.0,0.1,0.3,0.00
010153,ZJZZ500ZSZQA,股票指数,中加中证500指数增强A,1.0048,1.0048,1.0092,1.0092,-0.0044,-0.44,开放申购,开放赎回,0.10%,0.87,0.8,0.15,0.0,0.10
010154,ZJZZ500ZSZQC,股票指数,中加中证500指数增强C,1.0035,1.0035,1.0080,1.0080,-0.0045,-0.45,开放申购,开放赎回,0.00%,0.84,0.8,0.15,0.3,0.00
010355,NAZZ500ZSZQC,股票指数,诺安中证500指数增强C,1.0180,1.0180,1.0254,1.0254,-0.0074,-0.72,开放申购,开放赎回,0.00%,0.0,1.0,0.15,0.4,0.00
070039,JSZZ500ETFLJC,联接基金,嘉实中证500ETF联接C,1.3841,1.3841,1.3936,1.3936,-0.0095,-0.68,开放申购,开放赎回,0.00%,1.87,0.15,0.05,0.4,0.00
160119,NFZZ500ETFLJA,联接基金,南方中证500ETF联接A,1.6939,1.7939,1.7058,1.8058,-0.0119,-0.70,开放申购,开放赎回,0.12%,82.31,0.5,0.1,0.0,0.12
160616,PHZZ500ZSLOFA,股票指数,鹏华中证500指数(LOF)A,1.6460,1.6460,1.6570,1.6570,-0.0110,-0.66,开放申购,开放赎回,0.12%,2.86,0.75,0.15,0.0,0.12
161017,FGZZ500ZSLOF,股票指数,富国中证500指数(LOF),2.2630,2.6320,2.2630,2.6320,0,0.00,开放申购,开放赎回,0.15%,50.69,1.0,0.15,0.0,0.15
162216,TDZZ500ZSZQLOF,股票指数,泰达中证500指数增强(LOF),1.3824,2.5607,1.3954,2.5737,-0.0130,-0.93,开放申购,开放赎回,0.12%,3.9,1.0,0.2,0.0,0.12
162711,GFZZ500ETFLJA,联接基金,广发中证500ETF联接A,1.4290,1.4290,1.4384,1.4384,-0.0094,-0.65,开放申购,开放赎回,0.12%,14.16,0.5,0.1,0.0,0.12
501036,HTFZZ500A,股票指数,汇添富中证500A,1.1128,1.1128,1.1206,1.1206,-0.0078,-0.70,开放申购,开放赎回,0.08%,2.06,0.5,0.1,0.0,0.08
501037,HTFZZ500C,股票指数,汇添富中证500C,1.1045,1.1045,1.1122,1.1122,-0.0077,-0.69,开放申购,开放赎回,0.00%,1.36,0.5,0.1,0.25,0.00
502000,XBLDZZ500ZSZQA,股票指数,西部利得中证500指数增强A,1.5175,0.9797,1.5310,0.9877,-0.0135,-0.88,开放申购,开放赎回,0.10%,5.08,1.0,0.2,0.0,0.10
519034,HFTZZ500ZQA,股票指数,海富通中证500增强A,1.9646,1.9646,1.9923,1.9923,-0.0277,-1.39,开放申购,开放赎回,0.12%,0.21,0.8,0.2,0.0,0.12
590007,ZYZZ500ZSZQA,股票指数,中邮中证500指数增强A,1.3607,1.8707,1.3781,1.8881,-0.0174,-1.26,开放申购,开放赎回,0.15%,0.34,0.6,0.2,0.0,0.15
660011,NYZZ500ZS,股票指数,农银中证500指数,1.6293,1.6293,1.6405,1.6405,-0.0112,-0.68,开放申购,开放赎回,0.15%,0.77,0.75,0.15,0.0,0.15
