,净值日期,累计净值,单位净值,日增长率,复权净值,相对净值
3811,2021-04-20,3.3413,1.2221,-0.06,5.700920659694216,0.27513588987319937
3812,2021-04-21,3.3448,1.2256,0.29,5.717453329607328,0.27883378395383146
3813,2021-04-22,3.3435,1.2243,-0.11,5.71116413094476,0.27742706679148227
3814,2021-04-23,3.3543,1.2351,0.88,5.761422375297074,0.2886684249792473
3815,2021-04-26,3.3412,1.222,-1.06,5.700351298118925,0.2750085396744672
3816,2021-04-27,3.3442,1.225,0.25,5.714602176364221,0.2781960610236532
3817,2021-04-28,3.3508,1.2316,0.54,5.745461028116589,0.2850983197531811
3818,2021-04-29,3.3611,1.2419,0.84,5.793722900752768,0.29589314563910785
3819,2021-04-30,3.3518,1.2326,-0.75,5.750269978997123,0.28617394704681465
3820,2021-05-06,3.3375,1.2183,-1.16,5.683566847240756,0.27125432926107146
3821,2021-05-07,3.3227,1.2035,-1.21,5.614795688389142,0.2558721518770124
3822,2021-05-10,3.3218,1.2026,-0.07,5.610865331407269,0.2549930413706984
3823,2021-05-11,3.3288,1.2096,0.58,5.643408350329431,0.2622720010106484
3824,2021-05-12,3.3338,1.2146,0.41,5.666546324565782,0.267447316214792
3825,2021-05-13,3.322,1.2028,-0.97,5.6115808252174935,0.2551530772475085
3826,2021-05-14,3.349,1.2298,2.24,5.737280235702365,0.2832685061778527
3827,2021-05-17,3.3662,1.247,1.4,5.817602159002199,0.3012342652643427
3828,2021-05-18,3.3668,1.2476,0.05,5.8205109600817,0.3018848823969749
3829,2021-05-19,3.3635,1.2443,-0.26,5.805377631585487,0.29849998170274267
3830,2021-05-20,3.3668,1.2476,0.27,5.821052151190767,0.30200593165333994
3831,2021-05-21,3.3551,1.2359,-0.94,5.7663342609695745,0.28976707589579864
3832,2021-05-24,3.3599,1.2407,0.39,5.7888229645873555,0.29479716749179213
3833,2021-05-25,3.3972,1.278,3.01,5.963066535821435,0.3337705622332951
3834,2021-05-26,3.3977,1.2785,0.04,5.965451762435763,0.3343040704581884
3835,2021-05-27,3.4017,1.2825,0.31,5.983944662899315,0.338440413076609
3836,2021-05-28,3.398,1.2788,-0.29,5.966591223376907,0.3345589358786869
3837,2021-05-31,3.4005,1.2813,0.2,5.978524405823661,0.33722805375044423
3838,2021-06-01,3.4029,1.2837,0.19,5.989883602194726,0.3397687870525701
3839,2021-06-02,3.3915,1.2723,-0.89,5.936573638135193,0.3278448448478022
3840,2021-06-03,3.3838,1.2646,-0.61,5.900360538942568,0.3197449912942305
3841,2021-06-04,3.3905,1.2713,0.53,5.931632449798964,0.32673963974809
3842,2021-06-07,3.3896,1.2704,-0.07,5.927480307084104,0.32581092200026623
3843,2021-06-08,3.379,1.2598,-0.83,5.878282220535306,0.31480669134766404
3844,2021-06-09,3.3806,1.2614,0.13,5.885923987422002,0.31651594004641603
