,净值日期,复权净值,复权净值临时,日增长率,相对净值
199,2018/10/29,1.070502844,1.012862844,-0.011774158,-0.051191575
200,2018/10/30,1.080424434,1.021794434,0.009268159,-0.042397868
201,2018/10/31,1.090104377,1.030134377,0.00895939,-0.033818338
202,2018/11/1,1.095992399,1.035167399,0.005401337,-0.028599665
203,2018/11/2,1.101108929,1.041393929,0.0046684,-0.02406478
204,2018/11/5,1.099223192,1.040078192,-0.00171258,-0.025736147
205,2018/11/6,1.101413763,1.041758763,0.001992836,-0.023794599
206,2018/11/7,1.108301387,1.046921387,0.006253439,-0.017689958
207,2018/11/8,1.106430343,1.045300343,-0.001688209,-0.019348303
208,2018/11/9,1.100081482,1.039781482,-0.005738148,-0.024975428
209,2018/11/12,1.09638009,1.03766509,-0.003364653,-0.028256047
210,2018/11/13,1.100105436,1.041250436,0.003397861,-0.024954196
211,2018/11/14,1.093090241,1.034895241,-0.006376839,-0.031171906
212,2018/11/15,1.102633427,1.043458427,0.008730465,-0.022713586
213,2018/11/16,1.105038231,1.046063231,0.002180964,-0.02058216
214,2018/11/19,1.098966786,1.041936786,-0.005494331,-0.025963405
215,2018/11/20,1.084382032,1.028272032,-0.013271333,-0.038890169
216,2018/11/21,1.087748864,1.031098864,0.003104839,-0.035906077
217,2018/11/22,1.087748864,1.031098864,0,-0.035906077
218,2018/11/23,1.078532074,1.022397074,-0.00847327,-0.044075105
219,2018/11/26,1.08606902,1.02857402,0.006988152,-0.037394957
220,2018/11/27,1.087032151,1.029347151,0.000886805,-0.036541314
221,2018/11/28,1.100250994,1.040795994,0.012160489,-0.024825186
222,2018/11/29,1.094814632,1.035659632,-0.00494102,-0.029643544
223,2018/11/30,1.100434118,1.040809118,0.00513282,-0.024662879
224,2018/12/3,1.114451431,1.053836431,0.012737984,-0.01223905
225,2018/12/4,1.099294383,1.041249383,-0.013600456,-0.025673049
226,2018/12/5,1.099294383,1.041249383,0,-0.025673049
227,2018/12/6,1.092056884,1.033941884,-0.006583768,-0.032087792
228,2018/12/7,1.08287124,1.02650124,-0.008411323,-0.040229214
229,2018/12/10,1.081990034,1.025045034,-0.000813768,-0.041010245
230,2018/12/11,1.085068957,1.027708957,0.002845611,-0.038281333
231,2018/12/12,1.088366381,1.030466381,0.003038907,-0.035358759
232,2018/12/13,1.090363704,1.032678704,0.001835156,-0.033588492
233,2018/12/14,1.07828274,1.02202274,-0.011079756,-0.044296096
234,2018/12/17,1.070992101,1.015802101,-0.006761342,-0.050757937
235,2018/12/18,1.069650881,1.014150881,-0.001252316,-0.051946688
236,2018/12/19,1.061024498,1.006724498,-0.008064672,-0.059592426
237,2018/12/20,1.054725871,1.001190871,-0.005936363,-0.065175027
238,2018/12/21,1.045134957,0.993294957,-0.009093277,-0.073675649
239,2018/12/24,1.038699571,0.987924571,-0.006157469,-0.079379463
240,2018/12/25,1.038699571,0.987924571,0,-0.079379463
241,2018/12/26,1.04000286,0.98638786,0.001254732,-0.07822433
242,2018/12/27,1.041896163,0.988031163,0.001820478,-0.076546258
243,2018/12/28,1.041803442,0.988178442,-8.90E-05,-0.076628438
244,2018/12/31,1.042108442,0.988128442,0.000292762,-0.076358111
245,2019/1/2,1.041805194,0.987700194,-0.000290994,-0.076626885
246,2019/1/3,1.03348464,0.98097964,-0.00798667,-0.084001561
247,2019/1/4,1.051257936,0.996542936,0.017197445,-0.068248728
248,2019/1/7,1.055881536,1.000701536,0.00439816,-0.064150737
249,2019/1/8,1.057757192,1.002162192,0.001776389,-0.062488305
250,2019/1/9,1.061833705,1.005738705,0.003853921,-0.058875209
251,2019/1/10,1.061230976,1.005270976,-0.00056763,-0.059409421
252,2019/1/11,1.060918197,1.005318197,-0.000294732,-0.059686643
253,2019/1/14,1.054931063,1.000116063,-0.005643351,-0.064993161
254,2019/1/15,1.063155447,1.007345447,0.007796134,-0.057703722
255,2019/1/16,1.064479836,1.008619836,0.001245715,-0.05652989
256,2019/1/17,1.065896097,1.009661097,0.001330473,-0.055274629
257,2019/1/18,1.074537917,1.017722917,0.008107563,-0.047615208
258,2019/1/21,1.074537917,1.017722917,0,-0.047615208
259,2019/1/22,1.071569851,1.015689851,-0.002762179,-0.050245865
260,2019/1/23,1.073168523,1.017108523,0.001491897,-0.04882893
261,2019/1/24,1.074823407,1.018543407,0.001542054,-0.047362173
262,2019/1/25,1.079796541,1.022731541,0.004626932,-0.042954383
263,2019/1/28,1.074688981,1.018723981,-0.004730114,-0.047481317
264,2019/1/29,1.07322863,1.01786863,-0.001358859,-0.048775655
265,2019/1/30,1.076476414,1.019741414,0.003026181,-0.045897079
266,2019/1/31,1.080394782,1.023139782,0.003639995,-0.042424149
267,2019/2/1,1.087869174,1.030814174,0.006918204,-0.035799444
268,2019/2/11,1.098091916,1.040421916,0.009397033,-0.02673882
269,2019/2/12,1.107677257,1.048952257,0.008729088,-0.018243138
270,2019/2/13,1.114277422,1.055622422,0.005958563,-0.012393277
271,2019/2/14,1.114147715,1.055372715,-0.000116404,-0.012508239
272,2019/2/15,1.113063219,1.054133219,-0.000973386,-0.01346945
273,2019/2/18,1.113063219,1.054133219,0,-0.01346945
274,2019/2/19,1.124482111,1.065442111,0.010258978,-0.003348654
275,2019/2/20,1.125670956,1.066720956,0.001057238,-0.002294957
276,2019/2/21,1.12092459,1.06249459,-0.004216477,-0.006501757
277,2019/2/22,1.131110033,1.072315033,0.009086645,0.002525808
278,2019/2/25,1.15177547,1.09281047,0.018270049,0.020842004
279,2019/2/26,1.147307353,1.088432353,-0.003879329,0.016881822
280,2019/2/27,1.144241599,1.085496599,-0.00267213,0.014164582
281,2019/2/28,1.143420337,1.084780337,-0.000717735,0.01343668
282,2019/3/1,1.152756375,1.093646375,0.00816501,0.021711401
283,2019/3/4,1.15716122,1.09798122,0.003821142,0.025615505
284,2019/3/5,1.162298647,1.103118647,0.004439681,0.03016891
285,2019/3/6,1.165575815,1.106695815,0.002819558,0.033073531
286,2019/3/7,1.160287451,1.102007451,-0.004537126,0.028386347
287,2019/3/8,1.146054036,1.087759036,-0.012267146,0.015770981
288,2019/3/11,1.165095397,1.105655397,0.016614715,0.032647727
289,2019/3/12,1.171966593,1.112296593,0.005897539,0.038737808
290,2019/3/13,1.167679938,1.107589938,-0.00365766,0.034938458
291,2019/3/14,1.160657947,1.100757947,-0.006013627,0.028714724
292,2019/3/15,1.168686576,1.108161576,0.006917309,0.035830662
293,2019/3/18,1.180091907,1.119491907,0.009759102,0.045939438
294,2019/3/19,1.18007243,1.11930743,-1.65E-05,0.045922176
295,2019/3/20,1.177902786,1.116852786,-0.001838569,0.043999176
296,2019/3/21,1.184254514,1.122559514,0.005392405,0.049628842
297,2019/3/22,1.177268689,1.116783689,-0.005898922,0.043437163
298,2019/3/25,1.170858479,1.110318479,-0.005444985,0.037755663
299,2019/3/26,1.165892455,1.105137455,-0.004241352,0.033354176
