基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
160638,PHZZYDYLZTZSLOF,股票指数,鹏华中证一带一路主题指数(LOF),1.5260,0.6930,1.4940,0.68,0.0320,2.14,开放申购,开放赎回,0.12%
160639,PHZZGTCYZSLOF,股票指数,鹏华中证高铁产业指数(LOF),0.8790,0.3840,0.8560,0.3760,0.0230,2.69,开放申购,开放赎回,0.12%
160642,PHZRHHLOF,混合型,鹏华增瑞混合(LOF),1.8014,1.8014,1.8173,1.8173,-0.0159,-0.87,开放申购,开放赎回,0.15%
160643,PHKTJGZSLOFA,股票指数,鹏华空天军工指数(LOF)A,1.6702,1.6702,1.7015,1.7015,-0.0313,-1.84,开放申购,开放赎回,0.12%
160644,PHGMHLGPRMB,QDII,鹏华港美互联股票人民币,,,1.4462,1.4502,,,开放申购,开放赎回,0.15%
160645,PHJXHBSNDKHH,混合型,鹏华精选回报三年定开混合,2.1685,2.1685,2.1829,2.1829,-0.0144,-0.66,暂停申购,暂停赎回,0.15%
160706,JSHS300ETFLJA,联接基金,嘉实沪深300ETF联接A,1.5528,3.4741,1.5578,3.4791,-0.0050,-0.32,开放申购,开放赎回,0.15%
160716,JSJBM50ZSLOFA,股票指数,嘉实基本面50指数(LOF)A,1.7530,1.7530,1.7432,1.7432,0.0098,0.56,开放申购,开放赎回,0.12%
160717,JSHSZGQY,QDII-指数,嘉实恒生中国企业,0.8307,0.8307,0.8361,0.8361,-0.0054,-0.65,开放申购,开放赎回,0.15%
160718,JSDLSYZQ,债券型,嘉实多利收益债券,1.0387,1.4582,1.0389,1.4584,-0.0002,-0.02,开放申购,开放赎回,0.08%
160719,JSHJ,QDII,嘉实黄金,,,0.92,0.92,,,限大额,开放赎回,0.08%
160722,JSHZHHLOF,混合型,嘉实惠泽混合(LOF),1.9103,1.9347,1.9314,1.9558,-0.0211,-1.09,开放申购,开放赎回,0.15%
160723,JSYYQDIILOF,QDII,嘉实原油(QDII-LOF),,,0.7254,0.7254,,,暂停申购,开放赎回,0.12%
160724,JSHS300ETFLJC,联接基金,嘉实沪深300ETF联接C,1.6175,1.6525,1.6228,1.6578,-0.0053,-0.33,开放申购,开放赎回,0.00%
160725,JSJBM50ZSLOFC,股票指数,嘉实基本面50指数(LOF)C,1.2255,1.2255,1.2186,1.2186,0.0069,0.57,开放申购,开放赎回,0.00%
160726,JSRXDQHH,混合型,嘉实瑞享定期混合,1.4328,2.0728,1.4389,2.0789,-0.0061,-0.42,暂停申购,暂停赎回,0.90%
160805,CSTZYSHHLOF,混合型,长盛同智优势混合(LOF),1.3089,2.9395,1.3253,2.9559,-0.0164,-1.24,开放申购,开放赎回,0.15%
160806,CSTQZZ800LOF,股票指数,长盛同庆中证800(LOF),1.7910,1.9730,1.7990,1.98,-0.0080,-0.44,限大额,开放赎回,0.12%
160807,CSHS300ZSLOF,股票指数,长盛沪深300指数(LOF),1.7750,2.1250,1.78,2.13,-0.0050,-0.28,限大额,开放赎回,0.12%
160812,CSTYCZHBLOF,混合型,长盛同益成长回报(LOF),2.8530,6.1680,2.8810,6.1960,-0.0280,-0.97,限大额,开放赎回,0.15%
160813,CSTSCZYXLOF,混合型,长盛同盛成长优选(LOF),1.59,4.2260,1.6150,4.2570,-0.0250,-1.55,开放申购,开放赎回,0.15%
160814,CSZZJRDCZSLOF,股票指数,长盛中证金融地产指数(LOF),1.0475,,1.0562,,-0.0087,-0.82,开放申购,开放赎回,0.12%
160910,DCCXCZHHLOF,混合型,大成创新成长混合(LOF),1.4280,2.9480,1.4380,2.9580,-0.01,-0.70,限大额,开放赎回,0.15%
160916,DCYXHHLOF,混合型,大成优选混合(LOF),4.3910,3.7860,4.4020,3.7940,-0.0110,-0.25,开放申购,开放赎回,0.15%
160918,DCZXPHHLOF,混合型,大成中小盘混合(LOF),4.0410,7.2060,4.0820,7.2470,-0.0410,-1.00,开放申购,开放赎回,0.15%
160919,DCCYSJGPLOF,股票型,大成产业升级股票(LOF),2.5330,4.5190,2.5530,4.5390,-0.02,-0.78,开放申购,开放赎回,0.15%
160921,DCDCLHHLOF,混合型,大成多策略混合(LOF),1.2850,1.6420,1.2840,1.6410,0.0010,0.08,限大额,开放赎回,0.15%
160922,DCHSZHZXXGZSA,QDII-指数,大成恒生综合中小型股指数A,1.1560,1.1560,1.1570,1.1570,-0.0010,-0.09,开放申购,开放赎回,0.12%
160923,DCHWZGJHHH,QDII,大成海外中国机会混合,,,1.5240,1.5240,,,暂停申购,开放赎回,0.15%
160924,DCHSZS,QDII-指数,大成恒生指数,0.9910,0.9910,0.9960,0.9960,-0.0050,-0.50,开放申购,开放赎回,0.12%
160925,DCZHHSG300ZSLOFA,股票指数,大成中华沪深港300指数(LOF)A,1.3890,1.3890,1.3964,1.3964,-0.0074,-0.53,开放申购,开放赎回,0.12%
160926,DCCYBLNDKHHA,混合型,大成创业板两年定开混合A,1.2475,1.2475,1.2725,1.2725,-0.0250,-1.96,暂停申购,暂停赎回,0.15%
161005,FGTHCZHHABLOF,混合型,富国天惠成长混合A/B(LOF),3.7862,6.6842,3.8313,6.7293,-0.0451,-1.18,限大额,开放赎回,0.15%
161010,FGTFQHZQLOF,债券型,富国天丰强化债券(LOF),1.1749,1.8534,1.1783,1.8568,-0.0034,-0.29,开放申购,开放赎回,0.08%
161014,FGHLHBLNDQKFZQ,定开债券,富国汇利回报两年定期开放债券,1.2175,1.8102,1.2182,1.8111,-0.0007,-0.06,暂停申购,暂停赎回,0.08%
161015,FGTYZQLOFC,债券型,富国天盈债券(LOF)C,1.1086,1.7925,1.1105,1.7948,-0.0019,-0.17,开放申购,开放赎回,0.00%
161017,FGZZ500ZSLOF,股票指数,富国中证500指数(LOF),2.2630,2.6320,2.2630,2.6320,0,0.00,开放申购,开放赎回,0.15%
161019,FGXTFZQLOF,债券型,富国新天锋债券(LOF),1.0327,1.5452,1.0347,1.5472,-0.0020,-0.19,限大额,开放赎回,0.08%
161022,FGCYBZS,股票指数,富国创业板指数,1.2950,1.8570,1.3150,1.8650,-0.02,-1.52,开放申购,开放赎回,0.12%
161024,FGZZJGZSLOF,股票指数,富国中证军工指数(LOF),1.3460,1.8530,1.3650,1.8610,-0.0190,-1.39,开放申购,开放赎回,0.12%
161025,FGZZYDHLWZSLOF,股票指数,富国中证移动互联网指数(LOF),1.0390,1.7010,1.0390,1.7010,0,0.00,开放申购,开放赎回,0.12%
161026,FGZZGYQYGGZS,股票指数,富国中证国有企业改革指数,1.2010,1.4650,1.2040,1.4670,-0.0030,-0.25,开放申购,开放赎回,0.12%
161027,FGZZQZZQGSZSLOF,股票指数,富国中证全指证券公司指数(LOF),1.1660,0.6750,1.1930,0.6850,-0.0270,-2.26,开放申购,开放赎回,0.12%
161028,FGZZXNYQCZSLOF,股票指数,富国中证新能源汽车指数(LOF),1.0950,1.3640,1.1280,1.3840,-0.0330,-2.93,开放申购,开放赎回,0.12%
161029,FGZZYHZS,股票指数,富国中证银行指数,1.2640,1.35,1.2650,1.3510,-0.0010,-0.08,开放申购,开放赎回,0.12%
161030,FGZZTYCYZS,股票指数,富国中证体育产业指数,0.9210,0.6440,0.9320,0.6480,-0.0110,-1.18,开放申购,开放赎回,0.12%
161031,FGZZGY40ZS,股票指数,富国中证工业4.0指数,1.1820,0.8620,1.1850,0.8630,-0.0030,-0.25,开放申购,开放赎回,0.12%
161032,FGZZMTZSLOF,股票指数,富国中证煤炭指数(LOF),1.0220,0.7120,1.0260,0.7150,-0.0040,-0.39,开放申购,开放赎回,0.00%
